Theme,Name,Initial Cost,Latest Cost,Change Cost,Initial Schedule,Final Schedule,Change Schedule
Heliophysics,ACE,141.10,108.50,-23.1,57,62,8.2
Earth-Sci,ACRIMSAT,NA,NA,NA,43,45,4.7
NA,ACTS,354.00,656.00,85.3,48,98,104.2
NA,AFE,159.00,387.00,143.4,Canceled,NA,NA
NA,AHMS,55.00,55.00,0.0,NA,NA,NA
Heliophysics,AIM,61.10,81.20,32.9,40,50,24.7
NA,Apollo,7000.00,25400.00,262.9,NA,NA,NA
Earth-Sci,Aqua,762.50,1006.00,31.9,89,107,19.4
Earth-Sci,Aquarius,NA,NA,NA,50,69,38.0
Manned,ASRM,1506.70,3251.80,115.8,Canceled,NA,NA
Manned,ATP,372.00,1053.00,183.1,NA,NA,NA
NA,AURA,524.00,763.00,45.6,114,133,17.4
Earth-Sci,Aura (Chem-1) or Chemistry,NA,NA,NA,41,60,46.3
Heliophysics,BARREL,NA,NA,NA,NA,54,NA
Earth-Sci,CALIPSO,68.20,170.3,149.7,38,89,135.4
Planetary,Cassini,1436.40,1375.90,-4.2,92,110,19.6
Manned,CAU,442.00,454.00,2.7,NA,NA,NA
ASO,AXAF / Chandra,1410.00,6022.00,327.1,69,79,14.5
ASO,CHIPSAT,NA,NA,NA,30,40,33.3
Heliophysics,CINDI,NA,NA,NA,41,95,131.7
Manned,CLCS,175.00,399.00,128.0,Canceled,NA,NA
NA,Clementine,NA,NA,NA,NA,19,NA
Earth-Sci,CloudSat,80.20,144.00,79.6,36,85,136.6
NA,Cluster,NA,NA,NA,75,81,8.0
NA,Cluster-2 (Rumba & Tengo),NA,NA,NA,NA,131,NA
NA,Cluster-2 (Salsa & Samba),NA,NA,NA,75,130,73.3
ASO,COBE,NA,NA,NA,68,88,29.4
Planetary,CONTOUR,69.10,96.80,40.1,38,40,4.2
NA,Cosmic Background Explorer,97.50,159.70,63.8,NA,NA,NA
NA,COSTR,221.00,673.00,204.5,NA,NA,NA
NA,CRAF,3593.00,3351.00,-6.7,Canceled,NA,NA
Earth-Sci,CRRES,NA,NA,NA,38,86,126.3
NA,DART,NA,NA,NA,31,43,38.7
Planetary,DAWN,202.8,287.1,41.6,37,53,43.2
NA,Deep Impact,194.10,252.00,29.8,44,63,43.9
Planetary,Deep Space 1,73.30,99.30,35.5,33,43,28.5
NA,DSMS,NA,NA,NA,NA,36,NA
Earth-Sci,EO-1,72.00,158.1,119.6,33,58,74.2
NA,ERAST,181.30,173.00,-4.6,NA,NA,NA
NA,ESSP,145.10,171.80,18.4,NA,NA,NA
NA,ET,349.60,961.70,175.1,NA,NA,NA
ASO,EUVE,107.40,322.00,199.8,48,58,20.8
Heliophysics,FAST,32.50,42.90,32.0,44,89,101.1
NA,FCF,118.90,114.10,-4.0,NA,NA,NA
NA,FTS,317.00,485.00,53.0,Canceled,NA,NA
NA,FTS,317.00,453.20,43.0,NA,NA,NA
ASO,FUSE,85.90,143.7,67.3,44,107,143.2
ASO,GALEX,41.10,87.10,111.9,37,60,61.4
Planetary,Galilleo,276.20,1639.00,493.4,43,136,216.3
Earth-Sci,Genesis,126.10,162.90,29.2,34,46,34.9
Heliophysics,Geospace RBSP,NA,NA,NA,NA,44,NA
Heliophysics,Geotail,NA,NA,NA,58,58,0.0
NA,GGS,334.00,649.00,94.3,NA,NA,NA
ASO,GLAST,NA,NA,NA,66,93,40.9
Earth-Sci,Glory,NA,NA,NA,88,106,20.5
Earth-Sci,GOES,554.60,1241.00,123.8,NA,NA,NA
Earth-Sci,GOES,691.00,1787.00,158.6,NA,NA,NA
Earth-Sci,GOES I,NA,NA,NA,45,102,126.7
Earth-Sci,GOES J,NA,NA,NA,53,115,117.0
Earth-Sci,GOES K,NA,NA,NA,57,138,142.1
Earth-Sci,GOES L,NA,NA,NA,65,175,169.2
Earth-Sci,GOES M,NA,NA,NA,74,189,155.4
Earth-Sci,GOES N,NA,NA,NA,41,96,134.1
Earth-Sci,GOES O,NA,NA,NA,47,126,168.1
Earth-Sci,GOES P,NA,NA,NA,83,137,65.1
ASO,GP-B,351.00,709.30,102.1,74,128,72.7
Earth-Sci,GPM,NA,NA,NA,113,149,31.9
Earth-Sci,GRACE,79.30,88.40,11.5,42,60,43.8
Planetary,GRAIL,NA,NA,NA,8,44,450.0
ASO,GRO (Compton Gamma Ray Ob),183.80,677.00,268.3,62,127,104.8
NA,HESSI,32.00,63.50,98.4,31,51,61.9
ASO,HETE,8.40,23.50,179.8,37,49,34.2
ASO,HST,435.00,1682.00,286.7,NA,NA,NA
ASO,HST SI,NA,NA,NA,64,140,118.8
ASO,HST SSM,NA,NA,NA,70,146,108.6
ASO,HST-OTA,115.80,561.70,385.1,70,146,108.6
Heliophysics,IBEX,NA,NA,NA,33,36,9.1
Earth-Sci,ICESAT,121.30,177.00,45.9,43,73,70.7
Heliophysics,IMAGE,83.60,89.20,6.7,42,49,15.5
ASO,INTEGRAL,8.20,11.90,45.1,NA,NA,NA
Earth-Sci,JASON,77.50,87.80,13.3,70,94,34.3
Planetary,JUNO,NA,NA,NA,51,51,0.0
ASO,JWST,900.00,4900.00,444.4,92,114,23.9
ASO,Kepler,NA,NA,NA,48,64,33.3
NA,LADEE,NA,NA,NA,NA,38,NA
Earth-Sci,Landsat 7,387.10,508.80,31.4,55,80,44.7
Earth-Sci,LANDSAT-D,260.10,538.00,106.8,NA,NA,NA
NA,LCROSS,NA,NA,NA,27,28,3.7
Earth-Sci,LDCM,NA,NA,NA,38,38,0.0
ASO,LISA,NA,NA,NA,55,120,118.2
SSE,LRO,NA,NA,NA,38,39,2.6
Manned,LTMCC,87.10,76.90,-11.7,NA,NA,NA
Planetary,Lunar,56.20,56.60,0.7,30,34,10.7
Planetary,MAGELLAN,322.80,856.00,165.2,61,73,19.7
NA,MAP,88.30,94.20,6.7,56,64,14.4
ASO,MAP or WMAP,NA,NA,NA,54,61,13.0
Planetary,MPL,NA,NA,NA,45,46,2.2
Planetary,MCO,183.60,189.70,3.3,39,45,16.6
NA,MEDS,201.70,210.10,4.2,NA,NA,NA
Planetary,MER-A,499.40,767.00,53.6,34,34,1.1
Manned,MERCURY,196.92,384.00,95.0,NA,NA,NA
Planetary,Messenger,191.50,288.70,50.8,46,57,23.7
Planetary,MGS,140.20,130.70,-6.8,31,34,8.7
Planetary,MMM,NA,NA,NA,31,35,12.9
Heliophysics,MMS,NA,NA,NA,85,85,0.0
Planetary,Mars Observer,306.00,994.00,224.8,100,126,26.0
Planetary,Mars Pathfinder,150.00,174.20,16.1,38,49,30.6
Planetary,Mars Reconnaissance Orbiter / MRO,334.40,450.0,34.6,43,47,9.4
Planetary,MSL,650.00,2300.00,253.8,45,NA,NA
Planetary,NEAR,150.00,124.90,-16.7,29,29,0.0
Planetary,New Horizons,NA,NA,NA,44,44,0.0
NA,NMP,111.70,176.40,57.9,NA,NA,NA
Earth-Sci,NPP,NA,NA,NA,79,123,55.7
NA,NSCAT,100.40,255.00,154.0,NA,NA,NA
ASO,NuStar,NA,NA,NA,NA,37,NA
Earth-Sci,OCO,NA,NA,NA,52,67,28.8
Planetary,ODYSSEY,267.20,366.10,37.0,33,34,3.0
Manned,OMV,236.00,814.00,244.9,Canceled,NA,NA
Earth-Sci,OSTM,NA,NA,NA,72,74,2.8
Planetary,Phoenix/Scout 7,NA,NA,NA,41,41,0.0
Earth-Sci,QUICKSCAT,NA,NA,NA,14,21,50.0
Heliophysics,RHESSI,NA,NA,NA,31,53,71.0
NA,Rosetta,28.40,40.10,41.2,NA,NA,NA
Heliophysics,Sampex,NA,NA,NA,37,38,2.7
Heliophysics,SDO,NA,NA,NA,52,68,30.8
NA,SeaWinds,130.20,148.80,14.3,NA,NA,NA
Heliophysics,SET-1,NA,NA,NA,39,89,128.2
ASO,SIM,NA,NA,NA,73,191,161.6
Manned,SLWT,172.50,129.00,-25.2
Heliophysics,SNOE,NA,NA,NA,23,35,52.2
ASO,SOFIA,234.80,840.00,257.8,48,207,331.3
Heliophysics,SoHO,NA,NA,NA,63,72,14.3
Heliophysics,Solar Orbiter,NA,NA,NA,NA,84,NA
Heliophysics,Solar B or HINODE,99.30,80.40,-19.0,58,83,43.1
Earth-Sci,SORCE,68.00,74.50,9.6,32,55,71.6
Manned,Shuttle,5800.00,17789.00,206.7,NA,NA,NA
Manned,Shuttle With Reserves,6960.00,17789.00,155.6,NA,NA,NA
Manned,Shuttle Endeavor,2100.00,1800.00,-14.3,NA,NA,NA
Manned,SSME,1267.10,3051.50,140.8,NA,NA,NA
Manned,Space Station,9446.24,45000.00,376.4,NA,NA,NA
ASO,Spitzer Space Telescope / SIRTF or Spitzer,472.00,712.00,50.8,55,88,60.1
Manned,SRM,338.60,706.70,108.7,NA,NA,NA
Manned,SS,25.12,28.94,15.2,NA,NA,NA
Heliophysics,ST-5,26.30,48.7,85.2,48,78,62.5
Heliophysics,ST-6,NA,NA,NA,NA,56,NA
ASO,ST-7,NA,NA,NA,47,89,89.4
Heliophysics,ST-8,NA,NA,NA,37,32,-13.5
CT,ST-9,NA,NA,NA,42,42,0.0
Planetary,STARDUST,117.80,126.4,7.3,35,39,10.9
NA,STDRS,341.40,532.00,55.8,NA,NA,NA
Heliophysics,STEREO,150.00,550.00,266.7,49,77,57.1
ASO,SWAS,47.30,78.90,66.8,57,116,104.2
NA,SWASTR,140.00,212.70,51.9,NA,NA,NA
ASO,SWIFT,102.40,164.90,61.0,41,60,45.1
NA,TDRS7,269.00,532.00,97.8,NA,NA,NA
NA,TDRS-H,NA,NA,NA,41,52,26.8
NA,TDRS-I,NA,NA,NA,47,73,55.3
NA,TDRS-J,NA,NA,NA,53,82,54.7
NA,TE,321.30,401.50,25.0,NA,NA,NA
Earth-Sci,TERRA,1078.70,1393.20,29.2,NA,NA,NA
Earth-Sci,Terriers,NA,NA,NA,31,56,80.6
NA,Tether,28.30,115.70,308.8,NA,NA,NA
Heliophysics,THEMIS,102.30,107.60,5.2,37,44,17.6
Heliophysics,TIMED,129.20,176.20,36.4,44,86,97.1
NA,TOPEX,438.00,520.00,18.7,NA,NA,NA
Earth-Sci,Topex/Poseidon,NA,NA,NA,105,151,43.8
Heliophysics,TRACE,35.60,40.30,13.2,26,52,101.2
NA,TRDS,899.80,803.10,-10.7,NA,NA,NA
NA,Triana Spacecraft,75.00,96.90,29.2,NA,NA,NA
Earth-Sci,TRMM,218.80,468.00,113.9,72,87,21.0
NA,TSS,40.70,263.00,546.2,NA,NA,NA
Earth-Sci,UARS,575.30,790.00,37.3,73,95,30.1
Heliophysics,Ulysses,196.00,460.00,134.7,40,132,230.0
Heliophysics,WIND,NA,NA,NA,48,71,47.9
ASO,WIRE,39.70,50.70,27.7,44,57,30.7
ASO,WISE,NA,NA,NA,42,59,40.5
Manned,X-30,3100.00,10000.00,222.6,Canceled,NA,NA
Manned,X-33,1075.20,1789.70,66.5,Canceled,NA,NA
Manned,X-34,70.00,378.00,440.0,Canceled,NA,NA
Manned,X-38,500.00,1500.00,200.0,Canceled,NA,NA
Manned,X-43 Hyper-X,167.00,227.00,35.9,Canceled,NA,NA
ASO,XTE or RXTE,100.00,373.00,273.0,53,48,-9.4
