"#","Name","Color","Parent","Start","Stop","Icon","Description","Namechange_1","When_1","Description_1","Namechange_2","When_2","Description_2",X1,X2,X3
"N","Debian","#bf1238",NA,"1993.8.16",NA,"images/debian.svg","http://www.debian.org",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Libranet","#0169c9","Debian","1999.11.9","2005.4.25",NA,"http://en.wikipedia.org/wiki/Libranet",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Corel","#ecba5b","Debian","1999.9","2008.8.2",NA,"http://en.wikipedia.org/wiki/Corel_Linux","Xandros","2001.8.29","http://www.xandros.com/",NA,NA,NA,NA,NA,NA
"N","Storm","#2a2a98","Debian","1999.12","2001.4",NA,"http://www.stormlinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Omoikane (Arma)","#bfd0d6","Debian","2000.2",NA,NA,"http://www.omoikane.co.jp/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Knoppix","#c7bff0","Debian","2000.9.30",NA,NA,"http://www.knoppix.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Kurumin","#42328e","Knoppix","2003.2.18","2009.1.29",NA,"http://www.gdhpress.com.br/kurumin/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Dizinha","#88bff7","Kurumin","2004.1.4","2008",NA,"http://dizinha.codigolivre.org.br/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","NeoDizinha","#b6dbf6","Dizinha","2006.5",NA,NA,"http://neodizinha.web44.net/","Patinho Faminto","2006.8","http://neodizinha.web44.net/",NA,NA,NA,NA,NA,NA
"N","Kalango","#a0a067","Kurumin","2004.2.1","2006.11.7",NA,"http://pt.wikipedia.org/wiki/Kalango_Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Poseidon","#42328e","Kurumin","2005.3.10",NA,NA,"http://www.poseidonlinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Quantian","#3366dd","Knoppix","2003.3.6","2006.3.1",NA,"http://dirk.eddelbuettel.com/quantian.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Damn Small Linux","#cb9340","Knoppix","2003.6",NA,NA,"http://www.damnsmalllinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Hikarunix","#e48535","Damn Small Linux","2004.9.17","2005.9.21",NA,"http://www.assembla.com/wiki/show/Hikarunix",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","DSL-N","#000","Damn Small Linux","2006.5.8","2006.8.24",NA,"http://www.damnsmalllinux.org/dsl-n/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Damn Vulnerable Linux","#ef0101","Damn Small Linux","2006.11","2010.12",NA,"http://www.damnvulnerablelinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Morphix","#8b8b8b","Knoppix","2003.3.19","2010.3.29",NA,"http://www.morphix.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Hiwix","#376e08","Morphix","2004.2.28",NA,NA,"http://www.linuxsir.org/bbs/showthread.php?t=92689","Hiweed","2004.3.3","http://zh.wikipedia.org/zh-tw/Linux_Deepin","Deepin","2009.12","http://linux.deepin.org/",NA,NA,NA
"N","Aquamorph","#38587c","Morphix","2004.5",NA,NA,"http://aquariusoft.org/page/linux/aquamorph/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ZoneCD","#020202","Morphix","2004.6","2005.11.16",NA,"http://www.publicip.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Dreamlinux","#009c9c","Morphix","2006.2.12","2012.9",NA,"http://www.dreamlinux.info/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Danix","#3b679f","Knoppix","2003.11.5",NA,NA,"http://www.danix.cz/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Shabdix","#f64f67","Knoppix","2003.12.26","2004.9",NA,"http://shabdix.berlios.de/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","INSERT","#003399","Knoppix","2003.8.1","2007.2.27",NA,"http://www.inside-security.de/insert_en.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","KnoppMyth","#92bac4","Knoppix","2003.8.8","2009.1.28",NA,"http://mysettopbox.tv/knoppmyth.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Medialinux","#778888","Knoppix","2003.11",NA,NA,"http://www.linuxfordevices.com/c/a/News/Introducing-MediaLinux-a-new-realtime-Linux-approach/","Mediainlinux","2004.7","http://distrowatch.com/table.php?distribution=artistx","ArtistX","2006.11","www.artistx.org/",NA,NA,NA
"N","Kanotix","#c8b582","Knoppix","2003.12.24",NA,NA,"http://www.kanotix.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Auditor Security Linux","#5c7152","Kanotix","2004.5.20",NA,NA,"http://en.wikipedia.org/wiki/Auditor_Security_Collection","Backtrack","2006.5.26","http://www.backtrack-linux.org/",NA,NA,NA,NA,NA,NA
"N","Parsix","#e48535","Kanotix","2005.1.25",NA,NA,"http://www.parsix.org/html/index.php",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Feather","#828282","Knoppix","2003.12","2005.7.4",NA,"http://featherlinux.berlios.de/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Bioknoppix","#5e4ab0","Knoppix","2004.2.20","2004.8.13",NA,"http://bioknoppix.hpcf.upr.edu/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Joatha","#e55522","Knoppix","2004.4",NA,NA,"http://code.google.com/p/joatha/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","MAX","#477dbe","Knoppix","2004.5.27",NA,NA,"http://www.educa2.madrid.org/web/max",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","B2D","#99ccff","Knoppix","2004.6","2010.5.16",NA,"http://b2d-linux.com/",NA,"INFO:","http://ftp.at.linuxfromscratch.org/.vhost/distrowatch.com/weekly.php?issue=20041011",NA,NA,NA,NA,NA,NA
"N","Kaella","#be2800","Knoppix","2004.7",NA,NA,"http://www.kaella.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Whoppix","#445fff","Knoppix","2004.8","2006.2.5",NA,"http://swik.net/WHoppix","WHAX","2005.7.3","http://distrowatch.com/table.php?distribution=whoppix",NA,NA,NA,NA,NA,NA
"N","Symphony OS","#d41316","Knoppix","2005.5.12",NA,NA,"http://symphonyos.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ParallelKnoppix","#a0553c","Knoppix","2005.4.25","2008.3.1",NA,"http://pareto.uab.es/mcreel/ParallelKnoppix/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Musix","#000064","Knoppix","2005.9.12",NA,NA,"http://www.musix.org.ar/en/index.html",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Gibraltar","#f00","Debian","2000.7.31",NA,NA,"http://www.gibraltar.at/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","LEAF","#00b4d7","Debian","2000.10.29",NA,NA,"http://leaf.sourceforge.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Progeny","#121356","Debian","2001.4.9","2007.4.30",NA,"http://en.wikipedia.org/wiki/Progeny_Linux_Systems",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Skolelinux","#e0b1b7","Debian","2001.7.2",NA,NA,"http://www.slx.no/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","DeMuDi","#be41e3","Debian","2001.7.19","2006",NA,"http://wiki.debian.org/DebianMultimedia",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","64Studio","#ABBEE4","DeMuDi","2005.4",NA,NA,"http://www.64studio.com",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Lindows","#3b806e","Debian","2001.8","2008.8.2",NA,"http://en.wikipedia.org/wiki/Lindows","Linspire","2004.0.0","http://www.linspire.com/",NA,NA,NA,NA,NA,NA
"N","Freespire","#007197","Lindows","2006.4.24","2008.10.19",NA,"http://www.freespire.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","gnuLiNex","#30632a","Debian","2002.6.9","2011.12.31",NA,"http://www.gnulinex.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Lihuen","#b3c4ac","gnuLiNex","2005.9.1",NA,NA,"http://lihuen.info.unlp.edu.ar/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Rxart","#666666","Debian","2002.12",NA,NA,"http://www.pixartargentina.com.ar/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","BlackRhino","#000","Debian","2003.3.4","2007.5",NA,"http://web.archive.org/web/20080228074951/http://blackrhino.xrhino.com/main.php?page=news",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","miniwoody","#12ad12","Debian","2003.3.15","2004.1.14",NA,"http://www.pro-linux.de/news/1/5322/miniwoody-10.html","Bonzai","2003.5.20","http://distrowatch.com/table.php?distribution=bonzai",NA,NA,NA,NA,NA,NA
"N","MEPIS","#8598c0","Debian","2003.5",NA,NA,"https://www.mepis.org/","SimplyMEPIS","2004.9.7","https://www.mepis.org/",NA,NA,NA,NA,NA,NA
"N","antiX","#443300","MEPIS","2007.8.22",NA,NA,"http://antix.mepis.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Swift","#00ae01","antiX","2010.11.15",NA,NA,"http://www.swiftlinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","ASLinux","#e3763f","Debian","2003.10.1",NA,NA,"http://www.activasistemas.com/index.php?id=7",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Impi","#050505","Debian","2003.11.1","2006.1",NA,"http://en.wikipedia.org/wiki/Impi_Linux",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Xebian","#dfdfdf","Debian","2003.12.17","2005.6.28",NA,"http://web.archive.org/web/20031230131115/http://www.xbox-linux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Bluewall","#4bb8c9","Debian","2004.1.6","2006.2.5",NA,"http://distrowatch.com/table.php?distribution=bluewall",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Amber","#ff9900","Debian","2004.2","2006.4",NA,"http://distrowatch.com/table.php?distribution=amber",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","K-DEMar","#416db7","Debian","2004.2.14",NA,NA,"http://distrowatch.com/table.php?distribution=kdemar","kademar","2009.6.6","http://www.kademar.org/",NA,NA,NA,NA,NA,NA
"N","Guadalinex","#369036","Debian","2004.2.24",NA,NA,"http://www.guadalinex.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Euronode","#ff2222","Debian","2004.3.13","2006.1.10",NA,"http://euronode.org/",NA,"INFO:","http://web.archive.org/web/20071001144149/http://euronode.org/",NA,NA,NA,NA,NA,NA
"N","DRBL","#333","Debian","2004.4.1",NA,NA,"http://drbl.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","DeadCD","#9bb657","Debian","2004.4","2006.6",NA,"http://distrowatch.com/table.php?distribution=olive","Olive","2006.5","http://distrowatch.com/table.php?distribution=olive",NA,NA,NA,NA,NA,NA
"N","Clonezilla Live","#f79f5d","Debian","2004.5",NA,NA,"http://clonezilla.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Underground Desktop","#cc3344","Debian","2004.6","2006.10.14",NA,"http://distrowatch.com/table.php?distribution=underground",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","grml","#e7c71c","Debian","2004.8.31",NA,NA,"http://grml.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","UserLinux","#ddbb66","Debian","2004.9","2005.5",NA,"http://en.wikipedia.org/wiki/UserLinux",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Ubuntu","#675a3b","Debian","2004.10.20",NA,NA,"http://www.ubuntu.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Kubuntu","#4f5695","Ubuntu","2005.4.8",NA,NA,"http://www.kubuntu.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Bardinux","#832c6a","Kubuntu","2006.7.7",NA,NA,"http://bardinux.ull.es/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Ulteo","#4fb75e","Kubuntu","2006.12.7",NA,NA,"http://www.ulteo.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","DEFT","#555555","Kubuntu","2007.1",NA,NA,"http://www.deftlinux.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Polippix","#66aacc","Kubuntu","2007.3.20",NA,NA,"http://polippix.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Asturix","#55cc00","Kubuntu","2009.2.5",NA,NA,"http://asturix.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Edubuntu","#a12726","Ubuntu","2005.10.13",NA,NA,"http://edubuntu.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Arabian","#225571","Ubuntu","2005.3","2009.7",NA,"http://arabian-linux.sourceforge.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","nUbuntu","#702b2e","Ubuntu","2005.12.18","2010.4.4 ",NA,"http://www.nubuntu.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Xubuntu","#53525f","Ubuntu","2006.6.1",NA,NA,"http://www.xubuntu.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"// N","Mystras OS","#DD4B39","Xubuntu","2012.2.8",NA,NA,"http://mystras.cloudfactory.eu/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"// N","Xinutop",NA,"Xubuntu","2012.5.2",NA,NA,"http://marinux.pk973.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Christian Edition","#761f0c","Ubuntu","2006.7.23",NA,NA,"http://ubuntuce.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","PUD","#5c7684","Ubuntu","2006.8",NA,NA,"http://xpud.org/","xPUD","2008.6.1","http://xpud.org/",NA,NA,NA,NA,NA,NA
"N","Mint","#5fec52","Ubuntu","2006.8.27",NA,NA,"http://www.linuxmint.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","quantOS","#1b1b1b","Mint","2011.6.15","2012.2.28",NA,"http://www.quantsec.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Commodore OS","#66aaff","Mint","2011.11.11",NA,NA,"http://www.commodoreusa.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","gNewSense","#c1b384","Ubuntu","2006.11.2",NA,NA,"http://www.gnewsense.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Satanic Edition","#f00","Ubuntu","2006.12.13",NA,NA,"http://ubuntusatanic.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Muslim Edition","#57793d","Ubuntu","2007.1.14",NA,NA,"http://distrowatch.com/table.php?distribution=sabily","Sabily","2009.5.12","http://www.sabily.org/",NA,NA,NA,NA,NA,NA
"N","Uberyl","#0066bb","Ubuntu","2007.1.16",NA,NA,"http://pollolinux.blogia.com/","ComFusion","2007.7.31","http://www.comfusion.es/",NA,NA,NA,NA,NA,NA
"N","Madbox","#666666","Ubuntu","2007.3.17",NA,NA,"http://madbox.tuxfamily.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Ubuntu Studio","#0099ee","Ubuntu","2007.5.10",NA,NA,"http://ubuntustudio.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Kiwi","#f4b75e","Ubuntu","2007.10.1",NA,NA,"http://www.kiwilinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Geubuntu","#ee8354","Ubuntu","2007.9.13",NA,NA,"http://opengeu.intilinux.com/","OpenGEU","2008.1.13","http://opengeu.intilinux.com/",NA,NA,NA,NA,NA,NA
"N","Greenie","#829b1a","Ubuntu","2007.9.14",NA,NA,"http://greenie.datagen.sk/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Ubuntulite","#60b3ff","Ubuntu","2007.9",NA,NA,"http://u-lite.org/","U-lite","2008.11.6","http://u-lite.org/",NA,NA,NA,NA,NA,NA
"N","Fluxbuntu","#53ff5f","Ubuntu","2007.10",NA,NA,"http://www.fluxbuntu.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Mythbuntu","#000","Ubuntu","2007.6.4",NA,NA,"http://www.mythbuntu.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Moblin","#3366bb","Ubuntu","2007.7","2008.8",NA,"http://moblin.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","gOS","#60b384","Ubuntu","2007.11.1","2009.1.3",NA,"http://www.thinkgos.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Eeebuntu","#669ad0","Ubuntu","2007.12",NA,NA,"http://eeebuntu.org/","Aurora OS","2010.6","http://auroraos.org/",NA,NA,NA,NA,NA,NA
"N","CrunchBang","#000","Ubuntu","2008.1.22",NA,NA,"http://crunchbanglinux.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Zebuntu","#c8ff00","Ubuntu","2008.2.15",NA,NA,"http://www.zevenos.com/","ZevenOS","2008.12.19","http://www.zevenos.com/",NA,NA,NA,NA,NA,NA
"N","Ubuntu Rescue Remix","#ddaa11","Ubuntu","2008.3.6",NA,NA,"http://ubuntu-rescue-remix.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Ultimate Edition","#999999","Ubuntu","2008.5",NA,NA,"http://ultimateedition.info",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Ubuntu eee","#c8ff84","Ubuntu","2008.6.9",NA,NA,"http://www.geteasypeasy.com/","Easy Peasy","2009.1.5","http://www.geteasypeasy.com/",NA,NA,NA,NA,NA,NA
"N","Leeenux","#2e5f5a","Ubuntu eee","2009.10.17",NA,NA,"http://www.leeenux-linux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Maryan","#515151","Ubuntu","2008.8.1",NA,NA,"http://www.maryanlinux.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","MoonOS","#4CC334","Ubuntu","2008.8.1",NA,NA,"http://www.moonos.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Zorin OS","#055AA0","Ubuntu","2008.10",NA,NA,"http://zorin-os.webs.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"// N","INX","#d8ac08","Ubuntu","2008.10.5",NA,NA,"http://inx.maincontent.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","eBox","#f49d00","Ubuntu","2008.10.18",NA,NA,"http://ebox-platform.com/","Zentyal","2010.9.1","http://www.zentyal.com/",NA,NA,NA,NA,NA,NA
"N","CAINE","#f3a424","Ubuntu","2008.10.25",NA,NA,"http://www.caine-live.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Newtoos","#2b4083","Ubuntu","2008.11.13",NA,NA,"http://newtoos.greenie.sk/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","XBMC Live","#4c4c4c","Ubuntu","2008.11.15",NA,NA,"http://xbmc.org/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Vibuntu","#bbbbbb","Ubuntu","2008.12.6 ",NA,NA,"http://blinuxman.net/projects/oldvinux.php","VINUX","2008.12.12","http://vinuxproject.org/",NA,NA,NA,NA,NA,NA
"N","A/V","#334466","Ubuntu","2009.2",NA,NA,"http://www.bandshed.net/AVLinux.html","AV","2009.5.8","http://ardour.org/node/2669",NA,NA,NA,NA,NA,NA
"N","Qimo","#1070c0","Ubuntu","2009.2.18",NA,NA,"http://www.qimo4kids.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Monomaxos","#002299","Ubuntu","2009.3",NA,NA,"http://monomaxos.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Lubuntu","#0169c9","Ubuntu","2009.4.13",NA,NA,"http://lubuntu.net/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","Peppermint OS","#ae000e","Lubuntu","2010.4.22",NA,NA,"http://peppermintos.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
"N","wattOS","#68b03e","Ubuntu","2009.6.29",NA,NA,"http://www.planetwatt.com/",NA,NA,NA,NA,NA,NA,NA,NA,NA
