guard;line;td
#ifdef DEBUG_ARRAY;264;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_PCRE_H;6;1
#ifdef HAVE_PCRE_H;78;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_STDINT_H;11;1
#ifdef HAVE_INTTYPES_H;14;1
#if defined HAVE_LIBSSL && defined HAVE_OPENSSL_SSL_H;25;2
# if ! defined OPENSSL_NO_TLSEXT && ! defined SSL_CTRL_SET_TLSEXT_HOSTNAME;28;2
#ifdef HAVE_FAM_H;32;1
#ifndef O_BINARY;35;1
#ifndef O_LARGEFILE;38;1
#ifndef SIZE_MAX;41;1
# ifdef SIZE_T_MAX;42;1
#ifndef SSIZE_MAX;48;1
#ifdef __APPLE__;51;1
#ifndef HAVE_SOCKLEN_T;57;1
#if (!defined(HAVE_STDINT_H)) && (!defined(HAVE_INTTYPES_H)) && (!defined(uint32_t));60;3
#ifndef SHUT_WR;63;1
#ifdef HAVE_IPV6;100;1
#ifdef HAVE_SYS_UN_H;104;1
#ifdef HAVE_LSTAT;158;1
#ifdef HAVE_FAM_H;161;1
#ifdef HAVE_FAM_H;169;1
#ifdef USE_OPENSSL;226;1
#ifdef USE_OPENSSL;303;1
# ifndef OPENSSL_NO_TLSEXT;305;1
#ifdef HAVE_IPV6;318;1
#ifdef HAVE_FAM_H;368;1
#ifdef USE_OPENSSL;381;1
#ifdef HAVE_IPV6;415;1
#ifdef USE_OPENSSL;442;1
#if defined HAVE_STDINT_H;7;1
#elif defined HAVE_INTTYPES_H;9;1
#if !defined(SIZEOF_LONG) || (SIZEOF_LONG != SIZEOF_OFF_T);221;2
#if defined(__WIN32) || defined(__CYGWIN__);653;2
#ifdef HAVE_CONFIG_H;3;1
#if defined(SIZEOF_LONG) && (SIZEOF_LONG == SIZEOF_OFF_T);49;2
#ifdef HAVE_IPV6;147;1
#if defined USE_OPENSSL && ! defined OPENSSL_NO_TLSEXT;214;2
#ifdef __WIN32;243;1
#ifdef HAVE_PCRE_H;342;1
#ifndef elementsof;347;1
#ifdef HAVE_LSTAT;47;1
#ifdef HAVE_LSTAT;162;1
#ifdef HAVE_LSTAT;195;1
#ifdef HAVE_FAM_H;238;1
#ifdef HAVE_FAM_H;247;1
#ifdef HAVE_LSTAT;269;1
#ifdef USE_OPENSSL;289;1
#ifdef USE_OPENSSL;294;1
#ifdef USE_OPENSSL;352;1
#ifdef USE_OPENSSL;358;1
#ifdef HAVE_LSTAT;377;1
#ifdef PATH_MAX;850;1
#ifdef __WIN32;923;1
#ifdef USE_LINUX_EPOLL;1018;1
#ifdef USE_POLL;1021;1
#ifdef USE_SELECT;1024;1
#ifdef USE_LIBEV;1027;1
#ifdef USE_SOLARIS_DEVPOLL;1030;1
#ifdef USE_SOLARIS_PORT;1033;1
#ifdef USE_FREEBSD_KQUEUE;1036;1
#ifndef USE_OPENSSL;1107;1
#ifndef INTERFACE;90;1
#ifdef YYFALLBACK;178;1
#ifndef NDEBUG;195;1
#ifndef NDEBUG;200;1
#ifndef NDEBUG;210;1
#ifndef NDEBUG;226;1
#ifndef NDEBUG;272;1
#ifndef NDEBUG;364;1
#ifdef YYFALLBACK;400;1
#ifndef NDEBUG;404;1
#ifndef NDEBUG;449;1
#ifndef NDEBUG;462;1
#ifndef NDEBUG;530;1
#ifdef HAVE_PCRE_H;953;1
#ifndef NDEBUG;1105;1
#ifndef NDEBUG;1131;1
#ifndef NDEBUG;1161;1
#ifndef NDEBUG;1180;1
#ifdef YYERRORSYMBOL;1185;1
#ifndef NDEBUG;1191;1
#ifdef USE_OPENSSL;22;1
#ifdef HAVE_SYS_FILIO_H;26;1
#ifdef USE_OPENSSL;91;1
#ifdef USE_OPENSSL;94;1
#ifdef __WIN32;102;1
#ifdef USE_OPENSSL;155;1
#if defined(__WIN32);250;1
#if defined USE_OPENSSL && ! defined OPENSSL_NO_TLSEXT;474;2
#if defined USE_OPENSSL && ! defined OPENSSL_NO_TLSEXT;522;2
#if defined USE_OPENSSL && ! defined OPENSSL_NO_TLSEXT;570;2
#ifdef USE_LINUX_SIGIO;811;1
#if EWOULDBLOCK != EAGAIN;868;2
#ifdef USE_OPENSSL;904;1
#ifdef USE_OPENSSL;926;1
#ifdef USE_OPENSSL;1049;1
#ifdef USE_OPENSSL;1135;1
#ifdef HAVE_CONFIG_H;3;1
#if defined HAVE_STDINT_H;7;1
#elif defined HAVE_INTTYPES_H;9;1
#ifdef HAVE_PCRE_H;22;1
#if defined HAVE_STDINT_H;3;1
#elif defined HAVE_INTTYPES_H;5;1
#ifdef FD_CLOEXEC;158;1
#ifdef O_NONBLOCK;168;1
#ifdef HAVE_CONFIG_H;3;1
#if defined HAVE_STDINT_H;8;1
#elif defined HAVE_INTTYPES_H;10;1
#if defined(HAVE_EPOLL_CTL) && defined(HAVE_SYS_EPOLL_H);14;2
#if defined HAVE_POLL && (defined(HAVE_SYS_POLL_H) || defined(HAVE_POLL_H));17;3
#if defined HAVE_SELECT;20;1
# ifdef __WIN32;21;1
# ifdef HAVE_SYS_SELECT_H;25;1
#if defined HAVE_SYS_DEVPOLL_H && defined(__sun);29;2
#if defined HAVE_PORT_H && defined HAVE_PORT_CREATE && defined(__sun);32;3
#if defined HAVE_SYS_EVENT_H && defined HAVE_KQUEUE;36;2
#if defined HAVE_LIBEV;39;1
#ifdef USE_LINUX_EPOLL;82;1
#ifdef USE_POLL;86;1
#ifdef USE_SELECT;92;1
#ifdef USE_SOLARIS_DEVPOLL;101;1
#ifdef USE_SOLARIS_PORT;105;1
#ifdef USE_FREEBSD_KQUEUE;108;1
#ifdef USE_SOLARIS_PORT;112;1
#ifdef USE_LIBEV;115;1
#ifdef USE_FREEBSD_KQUEUE;12;1
#ifdef USE_LIBEV;5;1
#ifdef USE_LINUX_EPOLL;12;1
#ifdef USE_POLL;12;1
# ifdef HAVE_POLL_H;13;1
#ifdef USE_SELECT;13;1
#ifdef USE_SOLARIS_DEVPOLL;12;1
#ifdef USE_SOLARIS_PORT;12;1
#ifdef HAVE_IPV6;10;1
# ifndef SA_LEN;11;1
# ifdef HAVE_SOCKADDR_SA_LEN;12;1
# ifdef HAVE_STRUCT_SOCKADDR_STORAGE;15;1
# ifdef AF_INET;18;1
# ifdef AF_INET6;22;1
#ifdef HAVE_IPV6;76;1
#ifdef HAVE_IPV6;90;1
#ifdef HAVE_CRYPT_H;6;1
#elif defined(__linux__);8;1
#ifdef HAVE_LIBCRYPT;11;1
#ifdef USE_OPENSSL;25;1
#ifdef USE_OPENSSL;375;1
#ifdef USE_OPENSSL;422;1
#ifdef HAVE_CRYPT;428;1
#ifdef USE_LDAP;446;1
#if defined(HAVE_LDAP_H) && defined(HAVE_LBER_H) && defined(HAVE_LIBLDAP) && defined(HAVE_LIBLBER);5;4
#ifdef USE_LDAP;33;1
#ifdef USE_LDAP;43;1
#ifdef HAVE_IPV6;7;1
#ifdef HAVE_PCRE_H;261;1
#ifdef HAVE_PCRE_H;268;1
#ifdef HAVE_PCRE_H;304;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_PCRE_H;6;1
#ifdef HAVE_PCRE_H;61;1
#ifdef HAVE_CONFIG_H;6;1
#ifdef HAVE_STDINT_H;9;1
#ifdef HAVE_INTTYPES_H;12;1
#ifndef __WIN32__;23;1
# if defined(_WIN32) || defined(WIN32);24;2
#if __GNUC__ > 2;28;1
#ifdef TEST;34;1
#ifndef NDEBUG;46;1
#ifdef TEST;2067;1
#ifdef TEST;2151;1
#ifdef __WIN32__;2177;1
#ifndef INTERFACE;4;1
#ifdef YYFALLBACK;13;1
#ifndef NDEBUG;31;1
#ifndef NDEBUG;36;1
#ifndef NDEBUG;46;1
#ifndef NDEBUG;51;1
#ifndef NDEBUG;58;1
#ifndef NDEBUG;87;1
#ifdef YYFALLBACK;123;1
#ifndef NDEBUG;127;1
#ifndef NDEBUG;172;1
#ifndef NDEBUG;186;1
#ifndef NDEBUG;215;1
#ifndef NDEBUG;239;1
#ifndef NDEBUG;264;1
#ifndef NDEBUG;295;1
#ifndef NDEBUG;314;1
#ifdef YYERRORSYMBOL;319;1
#ifndef NDEBUG;325;1
#ifdef HAVE_SYSLOG_H;13;1
#ifdef HAVE_VALGRIND_VALGRIND_H;16;1
#ifndef O_LARGEFILE;19;1
#if defined(__WIN32);25;1
#ifdef HAVE_FORK;39;1
#ifndef FD_CLOEXEC;57;1
#ifdef HAVE_SYSLOG_H;93;1
#ifdef HAVE_SYSLOG_H;141;1
#ifdef HAVE_SYSLOG_H;164;1
#ifdef HAVE_CONFIG_H;1;1
#ifndef USE_OPENSSL;4;1
#ifdef HAVE_MEMCPY;26;1
#ifdef HAVE_MEMSET;31;1
#ifndef HAVE_MEMCPY;185;1
#ifndef HAVE_MEMSET;193;1
#ifdef HAVE_STDINT_H;2;1
#ifdef HAVE_INTTYPES_H;5;1
#ifdef HAVE_SYSLOG_H;17;1
#if defined(HAVE_STRUCT_TM_GMTOFF);415;1
#if defined(HAVE_STRUCT_TM_GMTOFF);525;1
#if defined(HAVE_STRUCT_TM_GMTOFF);529;1
# ifdef HAVE_LOCALTIME_R;530;1
# ifdef HAVE_GMTIME_R;549;1
#ifdef HAVE_SYSLOG_H;702;1
#ifdef USE_LDAP;18;1
#ifdef USE_LDAP;29;1
#ifdef USE_LDAP;49;1
#ifdef USE_LDAP;80;1
#ifdef USE_LDAP;107;1
#ifdef USE_LDAP;114;1
#ifdef USE_LDAP;293;1
#ifdef USE_LDAP;332;1
#ifdef USE_LDAP;442;1
#ifdef __WIN32;10;1
#ifdef HAVE_SYS_FILIO_H;29;1
#if defined(__WIN32);250;1
#ifndef __WIN32;352;1
#ifdef HAVE_IPV6;487;1
#ifndef __WIN32;493;1
#ifdef HAVE_IPV6;550;1
#ifdef HAVE_IPV6;565;1
#ifdef HAVE_IPV6;573;1
#ifdef HAVE_IPV6;607;1
#ifdef HAVE_IPV6;629;1
#ifdef __CYGWIN__;650;1
#ifndef __WIN32;890;1
#ifndef __WIN32;940;1
#if defined(HAVE_MEMCACHE_H);35;1
#if defined(HAVE_MEMCACHE_H);67;1
#if defined(HAVE_MEMCACHE_H);79;1
#if defined(HAVE_MEMCACHE_H);105;1
#if defined(HAVE_MEMCACHE_H);119;1
#if defined(HAVE_MEMCACHE_H);8;1
#if defined(HAVE_MEMCACHE_H);16;1
#ifdef USE_OPENSSL;21;1
#ifdef HAVE_LUA_H;27;1
#ifdef HAVE_MEMCACHE_H;137;1
#ifdef HAVE_CONFIG_H;3;1
#ifdef HAVE_LUA_H;6;1
#ifdef USE_OPENSSL;15;1
#ifdef HAVE_LUA_H;21;1
#ifdef HAVE_MEMCACHE_H;170;1
#if defined HAVE_ZLIB_H && defined HAVE_LIBZ;19;2
#if defined HAVE_BZLIB_H && defined HAVE_LIBBZ2;23;2
#ifdef __WIN32;36;1
#ifdef USE_ZLIB;140;1
#ifdef USE_BZ2LIB;148;1
#ifdef USE_ZLIB;157;1
#ifdef USE_BZ2LIB;160;1
#ifdef USE_ZLIB;178;1
#ifdef USE_BZ2LIB;269;1
#ifdef USE_MMAP;364;1
#ifdef USE_ZLIB;389;1
#ifdef USE_BZ2LIB;398;1
#ifdef USE_MMAP;415;1
#ifdef USE_MMAP;442;1
#ifdef USE_ZLIB;458;1
#ifdef USE_BZ2LIB;467;1
#ifdef USE_MMAP;477;1
#ifdef HAVE_LSTAT;558;1
#ifdef USE_ZLIB;591;1
#ifdef USE_BZ2LIB;597;1
#ifdef HAVE_SYS_SYSLIMITS_H;17;1
#ifdef HAVE_ATTR_ATTRIBUTES_H;20;1
#ifdef HAVE_PCRE_H;25;1
#ifdef HAVE_PCRE_H;63;1
#ifdef HAVE_PCRE_H;97;1
#ifdef HAVE_PCRE_H;157;1
#ifdef HAVE_XATTR;514;1
#ifdef HAVE_LOCALTIME_R;518;1
#ifdef HAVE_PATHCONF;523;1
#ifdef NAME_MAX;525;1
#elif defined __WIN32;531;1
#ifdef HAVE_PCRE_H;572;1
#ifdef HAVE_LOCALTIME_R;630;1
#ifdef HAVE_XATTR;648;1
#ifdef HAVE_LOCALTIME_R;674;1
#ifdef HAVE_IPV6;92;1
#ifdef HAVE_IPV6;107;1
#ifdef HAVE_CONFIG_H;7;1
#ifdef HAVE_IPV6;170;1
#ifndef AI_NUMERICSERV;176;1
#ifdef HAVE_IPV6;210;1
#ifdef HAVE_IPV6;216;1
#ifdef HAVE_IPV6;241;1
#ifdef HAVE_IPV6;272;1
#ifdef HAVE_FASTCGI_FASTCGI_H;23;1
# ifdef HAVE_FASTCGI_H;26;1
#ifdef HAVE_SYS_FILIO_H;33;1
#ifdef HAVE_SYS_UIO_H;37;1
#ifdef HAVE_SYS_WAIT_H;40;1
#ifdef SIGTTOU;153;1
#ifdef SIGTTIN;156;1
#ifdef SIGTSTP;159;1
#ifdef HAVE_SYS_UN_H;494;1
#ifndef HAVE_FORK;500;1
#ifdef HAVE_SYS_UN_H;509;1
#ifdef SUN_LEN;518;1
#ifdef HAVE_FORK;607;1
#ifdef HAVE_SYS_UN_H;1072;1
#ifdef HAVE_SYS_UN_H;1081;1
#ifdef SUN_LEN;1090;1
#ifdef HAVE_IPV6;1215;1
#ifdef HAVE_IPV6;1248;1
#ifdef HAVE_IPV6;1261;1
#ifdef HAVE_IPV6;1276;1
#ifdef HAVE_LUA_H;15;1
#ifdef HAVE_LUA_H;6;1
#ifdef HAVE_LUA_H;5;1
#ifdef HAVE_CONFIG_H;6;1
#ifdef HAVE_MYSQL;9;1
#ifdef DEBUG_MOD_MYSQL_VHOST;15;1
#ifdef HAVE_MYSQL;18;1
#ifdef DEBUG;51;1
#ifdef DEBUG;82;1
#ifdef DEBUG;98;1
#if MYSQL_VERSION_ID >= 50013;169;1
#if MYSQL_VERSION_ID >= 40100;173;1
#ifdef HAVE_MYSQL;197;1
#if MYSQL_VERSION_ID >= 40100;251;1
#if MYSQL_VERSION_ID >= 40100;279;1
#ifdef DEBUG;285;1
#if MYSQL_VERSION_ID >= 40100;294;1
#ifdef HAVE_SYS_FILIO_H;22;1
#if defined(HAVE_IPV6) && defined(HAVE_INET_PTON);240;2
#if defined(HAVE_IPV6) && defined(HAVE_INET_PTON);247;2
#if defined(HAVE_IPV6) && defined(HAVE_INET_PTON);526;2
#ifdef HAVE_PCRE_H;98;1
#ifdef HAVE_PCRE_H;123;1
#ifdef HAVE_PCRE_H;9;1
#ifdef HAVE_PCRE_H;166;1
#ifdef HAVE_PCRE_H;175;1
#ifndef HAVE_PCRE_H;186;1
#ifdef HAVE_PCRE_H;198;1
#ifdef HAVE_PCRE_H;350;1
#ifdef HAVE_FORK;16;1
#ifdef HAVE_FORK;62;1
#ifdef HAVE_FORK;70;1
#ifdef HAVE_SYS_FILIO_H;22;1
#ifdef HAVE_SYS_UIO_H;26;1
#ifdef HAVE_SYS_WAIT_H;29;1
#ifdef SIGTTOU;134;1
#ifdef SIGTTIN;137;1
#ifdef SIGTSTP;140;1
#ifdef HAVE_SYS_UN_H;357;1
#ifndef HAVE_FORK;363;1
