Class,Methods,Over-exposed methods
re,3,0
Messages in org::apache::xml::serializer::utils (Class),8,0
LangCall in org::apache::xalan::xsltc::compiler (Class),4,0
ObjectFactory in org::apache::xalan::xsltc::compiler::util (Class),11,0
XMLChar in org::apache::xml::serializer::utils (Class),22,0
ElemUse in org::apache::xalan::templates (Class),7,0
SerializerMessages_en in org::apache::xml::serializer::utils (Class),0,0
Util in org::apache::xalan::xsltc::trax (Class),4,0
XUnresolvedVariableSimple in org::apache::xalan::templates (Class),5,0
InternalError in org::apache::xalan::xsltc::compiler::util (Class),1,0
Mult in org::apache::xpath::operations (Class),4,0
MissingOptArgException in org::apache::xalan::xsltc::cmdline::getopt (Class),2,0
ObjectFactory in org::apache::xalan::xsltc::trax (Class),11,0
ToTextStream in org::apache::xml::serializer (Class),25,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::trax::SecuritySupport12.getLastModified() (Class),1,0
Encodings in org::apache::xml::serializer (Class),15,0
TreeWalker in org::apache::xml::serializer (Class),9,0
DescendantIterator in org::apache::xml::dtm::ref::sax2dtm::SAX2DTM2 (Class),5,0
ConfigurationError in org::apache::xalan::xsltc::trax::ObjectFactory (Class),3,0
XMLNSDecl in org::apache::xalan::templates (Class),5,2
StringLengthCall in org::apache::xalan::xsltc::compiler (Class),2,0
anonymous(PrivilegedAction) in org::apache::xml::serializer::SecuritySupport12.getSystemClassLoader() (Class),1,0
DOM2DOM in <Default Package> (Class),1,0
SecuritySupport12 in org::apache::xml::serializer (Class),9,0
VarNameCollector in org::apache::xalan::templates (Class),6,3
AttributeIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),3,1
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::dom::SecuritySupport12.getLastModified() (Class),1,0
ElemContext in org::apache::xml::serializer (Class),6,0
OutlineableChunkEnd in org::apache::xalan::xsltc::compiler::util (Class),5,1
TrAXFilter in org::apache::xalan::transformer (Class),8,0
ExtensionTest in <Default Package> (Class),1,0
ElemTextLiteral in org::apache::xalan::templates (Class),12,1
ExtensionNamespaceSupport in org::apache::xalan::extensions (Class),4,2
XPATHMessages in org::apache::xpath::res (Class),2,0
BinOpExpr in org::apache::xalan::xsltc::compiler (Class),8,0
XBooleanStatic in org::apache::xpath::objects (Class),3,0
MultistepExprHolder in org::apache::xalan::templates::RedundentExprEliminator (Class),6,1
XStringForChars in org::apache::xpath::objects (Class),13,0
Comment in org::apache::xalan::xsltc::compiler (Class),3,0
OutlineableChunkStart in org::apache::xalan::xsltc::compiler::util (Class),5,1
MultiDOM in org::apache::xalan::xsltc::dom (Class),54,2
NamespaceAlias in org::apache::xalan::templates (Class),11,2
ElemParam in org::apache::xalan::templates (Class),7,0
Keywords in org::apache::xpath::compiler (Class),5,0
XPathExpressionImpl in org::apache::xpath::domapi (Class),2,0
XPathAPI in org::apache::xpath (Class),9,0
XSLTErrorResources_zh_TW in org::apache::xalan::res (Class),4,0
Param in org::apache::xalan::xsltc::compiler (Class),8,0
anonymous(PrivilegedAction) in org::apache::xml::serializer::SecuritySupport12.getParentClassLoader() (Class),1,0
SmartTransformerFactoryImpl in org::apache::xalan::xsltc::trax (Class),22,0
AnyNodeCounter in org::apache::xalan::xsltc::dom (Class),4,0
ObjectVector in org::apache::xml::utils (Class),22,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::trax::SecuritySupport12.getResourceAsStream() (Class),1,0
ExternalConnection in <Default Package> (Class),1,0
DTMNodeList in org::apache::xml::dtm::ref (Class),5,0
NamespaceUriCall in org::apache::xalan::xsltc::compiler (Class),3,0
XSLTErrorResources_sl in org::apache::xalan::res (Class),4,0
XPathVisitor in org::apache::xpath (Class),12,0
SerializerConstants in org::apache::xml::serializer (Class),1,0
ErrorMessages_zh_TW in org::apache::xalan::xsltc::runtime (Class),1,0
EqualityExpr in org::apache::xalan::xsltc::compiler (Class),12,3
anonymous(PrivilegedAction) in org::apache::xalan::extensions::SecuritySupport12.getSystemProperty() (Class),1,0
anonymous(PrivilegedExceptionAction) in org::apache::xalan::xsltc::compiler::SecuritySupport12.getFileInputStream() (Class),1,0
CollatorFactory in org::apache::xalan::xsltc (Class),2,0
Hashtable in org::apache::xalan::xsltc::runtime (Class),15,3
Minus in org::apache::xpath::operations (Class),4,0
BitArray in org::apache::xalan::xsltc::dom (Class),17,1
OpMap in org::apache::xpath::compiler (Class),22,2
LessThanComparator in org::apache::xpath::objects (Class),3,0
Copy in org::apache::xalan::xsltc::compiler (Class),4,0
DTMManagerDefault in org::apache::xml::dtm::ref (Class),18,0
ErrorMessages_ja in org::apache::xalan::xsltc::compiler::util (Class),1,0
Comparator in org::apache::xpath::objects (Class),2,0
TransformThread in <Default Package> (Class),8,0
ErrorMessages_ru in org::apache::xalan::xsltc::compiler::util (Class),1,0
AttributesImplSerializer in org::apache::xml::serializer (Class),8,1
FuncLast in org::apache::xpath::functions (Class),5,0
OptionMatcher in org::apache::xalan::xsltc::cmdline::getopt::GetOpt (Class),4,0
ErrorMessages_fr in org::apache::xalan::xsltc::compiler::util (Class),1,0
SerializerMessages_pl in org::apache::xml::serializer::utils (Class),1,0
SecuritySupport12 in org::apache::xalan::xsltc::dom (Class),9,0
JNDIConnectionPool in org::apache::xalan::lib::sql (Class),20,1
anonymous(PrivilegedAction) in org::apache::xalan::lib::sql::SecuritySupport12.getLastModified() (Class),1,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::dom::SecuritySupport12.getContextClassLoader() (Class),1,0
MessageFrame in <Default Package>::TransformApplet (Class),1,0
XPATHErrorResources_cs in org::apache::xpath::res (Class),4,0
FuncString in org::apache::xpath::functions (Class),2,0
XSLTElementDef in org::apache::xalan::processor (Class),38,7
XMLStringFactoryDefault in org::apache::xml::utils (Class),5,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::compiler::SecuritySupport12.getSystemProperty() (Class),1,0
anonymous(PrivilegedAction) in org::apache::xml::serializer::SecuritySupport12.getFileExists() (Class),1,0
MyNamespaceContext in <Default Package>::XPathResolver (Class),4,1
Plus in org::apache::xpath::operations (Class),4,0
ElemCopy in org::apache::xalan::templates (Class),4,0
StringArrayWrapper in org::apache::xml::utils::res (Class),3,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::runtime::SecuritySupport12.getSystemClassLoader() (Class),1,0
ExpressionContext in org::apache::xalan::extensions (Class),7,0
OutputProperties in org::apache::xalan::templates (Class),36,0
TypedNamespaceIterator in org::apache::xalan::xsltc::dom::SAXImpl (Class),2,0
PIA in servlet (Class),3,0
TreeWalker in org::apache::xml::utils (Class),12,0
ConfigurationError in org::apache::xalan::xsltc::compiler::ObjectFactory (Class),3,0
XSLInfiniteLoopException in org::apache::xalan::transformer (Class),2,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::compiler::util::SecuritySupport12.getLastModified() (Class),1,0
MappingRecord in org::apache::xml::serializer::NamespaceMappings (Class),1,0
anonymous(PrivilegedAction) in org::apache::xalan::xslt::SecuritySupport12.getParentClassLoader() (Class),1,0
anonymous(PrivilegedAction) in org::apache::xpath::functions::SecuritySupport12.getContextClassLoader() (Class),1,0
WithParam in org::apache::xalan::xsltc::compiler (Class),10,2
ProcessorUnknown in org::apache::xalan::processor (Class),2,1
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::compiler::SecuritySupport12.getParentClassLoader() (Class),1,0
SerializerMessages_cs in org::apache::xml::serializer::utils (Class),1,0
ObjectFactory in org::apache::xalan::xsltc::dom (Class),11,0
MultiValuedNodeHeapIterator in org::apache::xalan::xsltc::dom (Class),10,0
SerializerMessages_fr in org::apache::xml::serializer::utils (Class),1,0
XPATHErrorResources_sv in org::apache::xpath::res (Class),2,0
ExtensionHandlerJavaPackage in org::apache::xalan::extensions (Class),6,0
FilterExprIterator in org::apache::xpath::axes (Class),13,0
PrefixResolverDefault in org::apache::xml::utils (Class),5,0
LiteralElement in org::apache::xalan::xsltc::compiler (Class),19,2
SourceTreeManager in org::apache::xpath (Class),14,1
DTMDocument in org::apache::xalan::lib::sql (Class),97,0
ErrorMessages_fr in org::apache::xalan::xsltc::runtime (Class),1,0
InEncoding in org::apache::xml::serializer::EncodingInfo (Class),2,0
DescendantOrSelfFromRootTraverser in org::apache::xml::dtm::ref::DTMDefaultBaseTraversers (Class),5,0
ElemIf in org::apache::xalan::templates (Class),8,0
ApplyXPathJAXP in <Default Package> (Class),5,0
FuncConcat in org::apache::xpath::functions (Class),4,0
anonymous(PrivilegedAction) in org::apache::xalan::lib::sql::SecuritySupport12.getResourceAsStream() (Class),1,0
OutputPropertyUtils in org::apache::xml::serializer (Class),2,0
AttributeSetMethodGenerator in org::apache::xalan::xsltc::compiler::util (Class),9,0
Parser in org::apache::xalan::xsltc::compiler (Class),78,13
CurrentCall in org::apache::xalan::xsltc::compiler (Class),2,0
TemplateWalker in org::apache::xalan::templates::TemplateList (Class),3,0
NodeLocator in org::apache::xml::dtm::ref (Class),6,0
IteratorCache in org::apache::xpath::axes::NodeSequence (Class),7,0
LogicalExpr in org::apache::xalan::xsltc::compiler (Class),11,1
PrecedingIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),9,1
DocumentHolder in org::apache::xalan::lib::Extensions (Class),1,0
SerializerFactory in org::apache::xml::serializer (Class),3,0
Lte in org::apache::xpath::operations (Class),3,0
XSLTErrorResources_ko in org::apache::xalan::res (Class),4,0
CharInfo in org::apache::xml::serializer (Class),19,0
ErrorMessages_es in org::apache::xalan::xsltc::compiler::util (Class),1,0
SerializerMessages_de in org::apache::xml::serializer::utils (Class),1,0
SerializerFactory in org::apache::xalan::serialize (Class),2,0
TemplatesImpl in org::apache::xalan::xsltc::trax (Class),19,1
NumberFormatStringTokenizer in org::apache::xalan::templates::ElemNumber (Class),7,4
DescendantTraverser in org::apache::xml::dtm::ref::DTMDefaultBaseTraversers (Class),9,0
EqualComparator in org::apache::xpath::objects (Class),3,0
filterExprOwner in org::apache::xpath::axes::FilterExprIteratorSimple (Class),3,0
BoolStack in org::apache::xml::utils (Class),14,0
JAXPExtensionsProvider in org::apache::xpath::jaxp (Class),7,0
TransformerHandlerImpl in org::apache::xalan::transformer (Class),36,1
WrappedRuntimeException in org::apache::xml::serializer::utils (Class),4,0
FuncCeiling in org::apache::xpath::functions (Class),2,0
FuncGenerateId in org::apache::xpath::functions (Class),2,0
Constants in org::apache::xalan::xsltc::runtime (Class),1,0
SimpleAttributeValue in org::apache::xalan::xsltc::compiler (Class),5,0
Constants in org::apache::xml::utils (Class),1,0
ErrorMessages_sl in org::apache::xalan::xsltc::compiler::util (Class),1,0
SyntaxTreeNode in org::apache::xalan::xsltc::compiler (Class),58,5
XNumber in org::apache::xpath::objects (Class),14,0
ElemPI in org::apache::xalan::templates (Class),8,0
XSLTErrorResources_tr in org::apache::xalan::res (Class),4,0
ElemLiteralResult in org::apache::xalan::templates (Class),37,2
CurrentNodeListIterator in org::apache::xalan::xsltc::dom (Class),14,0
WalkingIteratorSorted in org::apache::xpath::axes (Class),6,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::cmdline::SecuritySupport12.getLastModified() (Class),1,0
NamespaceSupport in org::apache::xml::serializer::dom3 (Class),11,4
FuncSum in org::apache::xpath::functions (Class),2,0
ConfigurationError in org::apache::xalan::xsltc::runtime::ObjectFactory (Class),3,0
XPATHErrorResources_es in org::apache::xpath::res (Class),4,0
anonymous(PrivilegedAction) in org::apache::xalan::extensions::SecuritySupport12.getLastModified() (Class),1,0
NamespaceChildrenIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),3,0
NamespaceMappings in org::apache::xml::serializer (Class),16,0
ErrorMessages_it in org::apache::xalan::xsltc::compiler::util (Class),1,0
TypedDescendantIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),2,0
AttributeTraverser in org::apache::xml::dtm::ref::DTMDefaultBaseTraversers (Class),3,0
SelfIteratorNoPredicate in org::apache::xpath::axes (Class),6,0
ParentIterator in org::apache::xml::dtm::ref::sax2dtm::SAX2DTM2 (Class),5,0
TypedSingletonIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),2,0
ProcessorStripSpace in org::apache::xalan::processor (Class),3,0
ConfigurationError in org::apache::xpath::functions::ObjectFactory (Class),3,0
ConfigurationError in org::apache::xml::utils::ObjectFactory (Class),3,0
RootIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),3,0
MessageHandler in org::apache::xalan::xsltc::runtime (Class),1,0
CachedDocument in org::apache::xalan::xsltc::dom::DocumentCache (Class),14,7
SelectionEvent in org::apache::xalan::trace (Class),1,0
ExpressionOwner in org::apache::xpath (Class),2,0
PredicatedNodeTest in org::apache::xpath::axes (Class),27,3
PipeDocument in org::apache::xalan::lib (Class),2,0
ToSAXHandler in org::apache::xml::serializer (Class),28,3
XResources_cy in org::apache::xml::utils::res (Class),1,0
SecuritySupport in org::apache::xml::dtm (Class),11,1
StackGuard in org::apache::xalan::transformer (Class),7,0
anonymous(XPathFunction) in <Default Package>::XPathResolver::MyFunctionResolver.resolveFunction() (Class),1,0
BoolStack in org::apache::xml::serializer::ToStream (Class),13,5
MethodResolver in org::apache::xalan::extensions (Class),11,0
TransletException in org::apache::xalan::xsltc (Class),4,0
AncestorPattern in org::apache::xalan::xsltc::compiler (Class),11,0
Axis in org::apache::xml::dtm (Class),4,1
GenerateEvent in org::apache::xalan::trace (Class),5,0
XConnection in org::apache::xalan::lib::sql (Class),41,2
QueuedEvents in org::apache::xalan::transformer (Class),7,2
SerializerTrace in org::apache::xml::serializer (Class),7,1
KeyIndexIterator in org::apache::xalan::xsltc::dom::KeyIndex (Class),9,0
ExsltCommon in org::apache::xalan::lib (Class),2,0
anonymous(PrivilegedAction) in org::apache::xalan::lib::sql::SecuritySupport12.getFileExists() (Class),1,0
ObjectFactory in org::apache::xalan::extensions (Class),11,0
ExsltStrings in org::apache::xalan::lib (Class),9,0
DOM2DTMdefaultNamespaceDeclarationNode in org::apache::xml::dtm::ref::dom2dtm (Class),50,10
SymbolTable in org::apache::xalan::xsltc::compiler (Class),28,1
StringToIntTable in org::apache::xml::utils (Class),9,0
KeyManager in org::apache::xalan::transformer (Class),3,1
ProcessorNamespaceAlias in org::apache::xalan::processor (Class),3,0
LoadDocument in org::apache::xalan::xsltc::dom (Class),7,0
ElemApplyImport in org::apache::xalan::templates (Class),5,0
BasicTestIterator in org::apache::xpath::axes (Class),8,1
HashtableEntry in org::apache::xalan::xsltc::runtime (Class),2,0
XResources_ka in org::apache::xml::utils::res (Class),1,0
anonymous(PrivilegedAction) in org::apache::xml::utils::SecuritySupport12.getContextClassLoader() (Class),1,0
Output in org::apache::xalan::xsltc::compiler (Class),10,4
XMLStringFactoryImpl in org::apache::xpath::objects (Class),7,1
XPATHErrorResources_de in org::apache::xpath::res (Class),4,0
TypedPrecedingSiblingIterator in org::apache::xml::dtm::ref::sax2dtm::SAX2DTM2 (Class),3,0
ConcatCall in org::apache::xalan::xsltc::compiler (Class),3,0
XPath in org::apache::xpath (Class),19,1
XMLChar in org::apache::xml::utils (Class),23,0
anonymous(PrivilegedAction) in org::apache::xml::dtm::ref::SecuritySupport12.getFileExists() (Class),1,0
NamespaceIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),3,0
ConfigurationError in org::apache::xml::dtm::ObjectFactory (Class),3,0
Import in org::apache::xalan::xsltc::compiler (Class),5,0
ElemDesc in org::apache::xml::utils (Class),5,0
IntDate in <Default Package> (Class),1,0
filterExprOwner in org::apache::xpath::axes::FilterExprWalker (Class),3,0
OrderedProps in servlet (Class),3,0
FuncSubstringBefore in org::apache::xpath::functions (Class),2,0
FilteredAbsoluteLocationPath in org::apache::xalan::xsltc::compiler (Class),7,0
NodeSequence in org::apache::xpath::axes (Class),43,5
ErrorMessages_pl in org::apache::xalan::xsltc::compiler::util (Class),1,0
DTMWSFilter in org::apache::xml::dtm (Class),2,0
FuncSubstring in org::apache::xpath::functions (Class),4,0
MultipleNodeCounter in org::apache::xalan::xsltc::dom (Class),5,0
XSLTElementProcessor in org::apache::xalan::processor (Class),16,0
DocumentCall in org::apache::xalan::xsltc::compiler (Class),4,0
AncestorIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),10,1
NodeSet in org::apache::xpath (Class),62,3
anonymous(PrivilegedAction) in org::apache::xml::utils::SecuritySupport12.getLastModified() (Class),1,0
anonymous(PrivilegedAction) in org::apache::xml::serializer::SecuritySupport12.getLastModified() (Class),1,0
TypedFollowingIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),2,0
KeyDeclaration in org::apache::xalan::templates (Class),12,0
Bool in org::apache::xpath::operations (Class),4,0
TypedRootIterator in org::apache::xml::dtm::ref::sax2dtm::SAX2DTM2 (Class),2,0
NodeSortKey in org::apache::xalan::transformer (Class),1,0
DescendantOrSelfTraverser in org::apache::xml::dtm::ref::DTMDefaultBaseTraversers (Class),3,0
ElemSort in org::apache::xalan::templates (Class),15,0
ParentIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),5,1
FollowingSiblingIterator in org::apache::xml::dtm::ref::DTMDefaultBaseIterators (Class),3,1
Version in org::apache::xalan (Class),8,7
DOM in org::apache::xalan::xsltc (Class),45,4
XResourceBundle in org::apache::xml::utils::res (Class),4,0
StringVector in org::apache::xml::utils (Class),12,0
XPATHErrorResources_en in org::apache::xpath::res (Class),0,0
TemplateSubPatternAssociation in org::apache::xalan::templates (Class),16,6
ToHTMLStream in org::apache::xml::serializer (Class),39,0
FuncNamespace in org::apache::xpath::functions (Class),2,0
ElemElement in org::apache::xalan::templates (Class),12,0
ProcessorTemplateElem in org::apache::xalan::processor (Class),5,1
XResources_ko in org::apache::xml::utils::res (Class),1,0
ProcessingInstructionPattern in org::apache::xalan::xsltc::compiler (Class),8,0
DTMChildIterNodeList in org::apache::xml::dtm::ref (Class),4,0
SerializerMessages_ko in org::apache::xml::serializer::utils (Class),1,0
DTMStringPool in org::apache::xml::dtm::ref (Class),7,2
ContextNodeList in org::apache::xpath::axes (Class),12,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::cmdline::SecuritySupport12.getSystemProperty() (Class),1,0
WalkingIterator in org::apache::xpath::axes (Class),18,1
Expression in org::apache::xalan::xsltc::compiler (Class),20,6
anonymous(PrivilegedAction) in org::apache::xml::dtm::SecuritySupport12.getParentClassLoader() (Class),1,0
FuncLocalPart in org::apache::xpath::functions (Class),2,0
NodeCounter in org::apache::xalan::xsltc::dom (Class),16,1
EmptyFilter in org::apache::xalan::xsltc::dom (Class),1,0
DTMException in org::apache::xml::dtm (Class),16,2
JAXPTransletOneTransformation in <Default Package> (Class),1,0
anonymous(FilenameFilter) in org::apache::xalan::xsltc::trax::TransformerFactoryImpl.getBytecodesFromClasses() (Class),1,0
XPATHErrorResources_ca in org::apache::xpath::res (Class),4,0
ExpressionVisitor in org::apache::xalan::extensions (Class),2,0
NSInfo in org::apache::xml::utils (Class),4,0
CharArrayWrapper in org::apache::xml::utils::res (Class),3,0
ClonerToResultTree in org::apache::xalan::transformer (Class),1,0
FuncId in org::apache::xpath::functions (Class),3,0
ElemChoose in org::apache::xalan::templates (Class),7,0
SecuritySupport12 in org::apache::xalan::xsltc::runtime (Class),9,0
anonymous(PrivilegedExceptionAction) in org::apache::xml::dtm::ref::SecuritySupport12.getFileInputStream() (Class),1,0
WrongParserException in org::apache::xml::utils (Class),2,0
IntStack in org::apache::xml::utils (Class),12,0
Node in org::apache::xalan::xsltc::runtime (Class),1,0
WriterToUTF8Buffered in org::apache::xml::serializer (Class),10,1
AttributeValueTemplate in org::apache::xalan::xsltc::compiler (Class),6,0
ErrorMessages in org::apache::xalan::xsltc::runtime (Class),1,0
XSLTErrorResources_pt_BR in org::apache::xalan::res (Class),4,0
anonymous(PrivilegedExceptionAction) in org::apache::xalan::extensions::SecuritySupport12.getFileInputStream() (Class),1,0
anonymous(PrivilegedAction) in org::apache::xalan::xsltc::runtime::SecuritySupport12.getFileExists() (Class),1,0
DOMOutputImpl in org::apache::xml::serializer::dom3 (Class),10,0
Stack in org::apache::xml::serializer::NamespaceMappings (Class),11,6
SecuritySupport12 in org::apache::xml::dtm (Class),9,0
ExtendedSAX in org::apache::xalan::xsltc::dom (Class),0,0
NodeConsumer in org::apache::xml::utils (Class),1,0
FuncTranslate in org::apache::xpath::functions (Class),2,0
PathComponent in org::apache::xpath::axes (Class),1,1
WalkerFactory in org::apache::xpath::axes (Class),51,0
DOM2DTM in org::apache::xml::dtm::ref::dom2dtm (Class),40,0
ElemTemplate in org::apache::xalan::templates (Class),23,2
DTMFilter in org::apache::xml::dtm (Class),3,0
anonymous(PrivilegedAction) in org::apache::xpath::functions::SecuritySupport12.getSystemClassLoader() (Class),1,0
TypedDescendantIterator in org::apache::xml::dtm::ref::sax2dtm::SAX2DTM2 (Class),2,0
DOMSerializer in org::apache::xalan::serialize (Class),0,0
SerializerMessages_zh_CN in org::apache::xml::serializer::utils (Class),0,0
GetOpt in org::apache::xalan::xsltc::cmdline::getopt (Class),6,0
SecuritySupport in org::apache::xml::utils (Class),11,1
Pattern in org::apache::xalan::xsltc::compiler (Class),4,1
DTMDefaultBase in org::apache::xml::dtm::ref (Class),94,1
TrAXFilter in org::apache::xalan::xsltc::trax (Class),7,0
anonymous(ClassGenerator) in org::apache::xalan::xsltc::compiler::util::MethodGenerator.outline() (Class),1,0
ErrorMessages_de in org::apache::xalan::xsltc::runtime (Class),1,0
